"Topic","Source","Bias","Headline","Byline","Date","URL"
"covid","USA TODAY","Center","Comparing the COVID-19 vaccines","The U.S. Food and Drug Administration has granted emergency use authorizations for three COVID-19 vaccines so far. We compare the different available shots, and several still in the approval process for use in the Untied States.","Mar 27 2021","https://www.usatoday.com/in-depth/graphics/2021/03/27/comparing-covid-19-vaccines/6806600002/"
"covid","Wall Street Journal (News)","Center","Vaccines Appear to Be Slowing Spread of Covid-19 Infections","Vaccines appear to be starting to curb new Covid-19 infections in the U.S., a breakthrough that could help people return to more normal activities as infection worries fade, public-health officials say.","May 03 2021","https://www.wsj.com/articles/vaccines-appear-to-be-slowing-spread-of-covid-19-infections-11619615436"
"covid","New York Times (News)","Lean Left","Millions Are Skipping Their Second Doses of Covid Vaccines","Millions of Americans are not getting the second doses of their Covid-19 vaccines, and their ranks are growing.","Apr 27 2021","https://www.nytimes.com/2021/04/25/business/covid-vaccines-second-doses.html"
"covid","CNN (Online News)","Left","Meet Gen C, the Covid generation","(CNN)Natalie Sanchez heard it in her children's voices when their birthday parties were canceled and saw it on their faces when they couldn't play with friends.","Mar 11 2021","https://www.cnn.com/2021/03/11/us/covid-generation-gen-c/index.html"
"covid","Wall Street Journal (Opinion)","Lean Right","Covid and the New Age of Censorship","Information has never been more plentiful or easier to distribute. Yet we are sliding into a new age of censorship and suppression, encouraged by technology giants and traditional media companies. As someone who’s been falsely characterized as a coronavirus “denier,” I have seen this crisis firsthand.","Dec 08 2020","https://www.wsj.com/articles/covid-and-the-new-age-of-censorship-11607381415"
"covid","CBS News (Online)","Lean Left","Moderna says its COVID-19 vaccine is 96% effective in teens","Moderna's COVID-19 vaccine is 96% effective in teenagers 12- to 17-years-old, the drugmaker said Thursday. The company announced results of the Phase 2 trial in reporting first-quarter earnings. Its  vaccine generated $1.7 billion in revenue in its fiscal first quarter.","May 06 2021","https://www.cbsnews.com/news/moderna-covid-19-vaccine-teens-effective/"
"covid","CBS News (Online)","Lean Left","Moderna says its COVID-19 vaccine is 96% effective in teens","Moderna's COVID-19 vaccine is 96% effective in teenagers 12- to 17-years-old, the drugmaker said Thursday. The company announced results of the Phase 2 trial in reporting first-quarter earnings. Its  vaccine generated $1.7 billion in revenue in its fiscal first quarter.","May 06 2021","https://www.cbsnews.com/news/moderna-covid-19-vaccine-teens-effective/"
"covid","New York Times (News)","Lean Left","Pfizer Reaps Hundreds of Millions in Profits From Covid Vaccine","Last year, racing to develop a vaccine in record time, Pfizer made a big decision: Unlike several rival manufacturers, which vowed to forgo profits on their shots during the Covid-19 pandemic, Pfizer planned to profit on its vaccine.","May 04 2021","https://www.nytimes.com/2021/05/04/business/pfizer-covid-vaccine-profits.html"
"covid","BBC News","Center","Facebook freezes Maduro's page over Covid claim","Facebook has frozen Venezuelan President Nicolás Maduro's page after he claimed without evidence that a herbal remedy could cure Covid-19.","Mar 27 2021","https://www.bbc.com/news/world-latin-america-56551350"
"covid","New York Times (News)","Lean Left","UK Begins Distribution of Pfizer COVID-19 Vaccine","The United Kingdom has begun distributing the world’s first fully tested, clinically authorized COVID-19 coronavirus vaccine. The first recipient was a 90-year-old woman named Margaret Keenan, followed by an 81-year-old man named William Shakespeare. The vaccine, developed by American pharmaceutical company Pfizer and German biotechnology company BioNTech, was approved by British authorities","Dec 08 2020","https://www.nytimes.com/2020/12/07/world/pfizers-vaccine-debuts-in-britain-as-the-worlds-first-fully-tested-vaccine.html"
