Index,Topic,Source,Bias,Headline,Byline,Date,URL,Left Bias,Left Headline,Left Source,Left URL,Right Bias,Right Headline,Right Source,Right URL,Center Bias,Center Headline,Center Source,Center URL
0,blm,The Daily Caller,Right,"Trump Supporters Chased Out Of Black Lives Matter Plaza During Chaotic Demonstrations In Washington, DC","A group participating in a pro-President Donald Trump march were chased out of Black Lives Matter Plaza in Washington, D.C. by counter-protesters Saturday afternoon, with some incidents requiring intervention from the police.",Dec 13 2020,https://www.allsides.com/news/2020-12-13-1534/sanctuary-social-and-spiritual-justice-commentary-ebenezer-church,Lean Left,Atlanta Police Chief Erika Shields resigns in wake of fatal shooting,ABC News (Online),https://abcnews.go.com/US/atlanta-police-chief-erika-shields-resigns-wake-fatal/story?id=71239552,Lean Right,"Black Lives Matter has terrorist and communist inspirations, but liberal media doesn't care",Washington Examiner,https://www.washingtonexaminer.com/opinion/black-lives-matter-has-terrorist-and-communist-inspirations-but-liberal-media-doesnt-care,Center,"Toni Morrison, Whose Soaring Novels Were Rooted In Black Lives, Dies At 88",NPR (Online News),https://www.npr.org/2019/08/06/542391535/toni-morrison-whose-soaring-novels-were-rooted-in-black-lives-dies-at-88
1,blm,HuffPost,Left,"Judge Lets Derek Chauvin, Ex-Cop Charged In George Floyd's Death, To Live Out Of State","Citing safety concerns, a Minnesota judge on Friday issued new conditions of release for an ex-Minneapolis police officer charged in the death of George Floyd that would allow him to live in a neighboring state while he awaits trial.",Oct 10 2020,https://www.huffpost.com/entry/derek-chauvin-george-floyd-judge_n_5f80a4cac5b6e5c31ffdfc3f?ncid=tweetlnkushpmg00000067,Lean Left,Military housing company allegedly falsified records as families lived with roaches and black mold,CBS News (Online),https://www.cbsnews.com/news/balfour-beatty-falsified-maintenance-records-as-military-families-lived-with-roaches-black-mold-former-employee/,Right,'Black Guns Matter' Founder: Gun Control Keeps Urban Residents Dependent on Government,Breitbart News,http://www.breitbart.com/big-government/2016/09/25/exclusive-black-guns-matter-founder-gun-control-keep-urban-residents-dependent-gov/,Center,WATCH LIVE: President Trump's 2020 State of the Union,PBS NewsHour,https://www.pbs.org/newshour/politics/watch-live-president-trumps-2020-state-of-the-union
2,blm,New York Times (News),Lean Left,Bill Clinton Says He Regrets Showdown With Black Lives Matter Protesters,"Former President Bill Clinton said Friday that he regretted drowning out the chants of black protesters at a rally in Philadelphia the day before, when he issued an aggressive defense of his administration's impact on black families. His reaction thrust a debate about the 1990s into the center of his wife's presidential campaign, one that has focused heavily on issues of race and criminal",Apr 09 2016,http://www.nytimes.com/2016/04/09/us/politics/bill-clinton-apology-black-lives-matter-philadelphia.html?ref=politics&_r=0,Lean Left,Black Lives Matter power grab sets off internal revolt,Politico,https://www.politico.com/news/2020/12/10/black-lives-matter-organization-biden-444097,Lean Right,South Carolina Army sergeant leaves home amid 'violent' BLM protests; army officials say review continues,Fox News (Online News),https://www.foxnews.com/us/south-carolina-army-general-viral-video-investigation,Center,"Labor Rights Activists Say Minimum Wage Proposals From Manchin, Romney Aren't Living Wages",Newsweek,https://www.newsweek.com/labor-rights-activists-say-minimum-wage-proposals-manchin-romney-arent-living-wages-1571423
3,blm,The Guardian,Lean Left,First Thing: can cities live without police? Minneapolis may find out,"The largely peaceful protests prompted by the police killing of George Floyd went on across the US and around the world over the weekend, as it emerged that more than 10,000 US protesters have been arrested during the weeks of unrest - many for non-violent offences. In Minneapolis, where Floyd died, the city council has taken a dramatic step towards reform, by declaring their intent to disband",Jun 08 2020,https://www.theguardian.com/us-news/2020/jun/08/first-thing-can-cities-live-without-police-minneapolis-may-find-out,Left,"""I Got Little Left In The Tank"": Minneapolis Residents Are Exhausted After The Killings Of George Floyd And Daunte Wright",BuzzFeed News,https://www.buzzfeednews.com/article/carolinehaskins1/minneapolis-community-response-police-killings,Right,Face facts: 'Black Lives Matter' is all about hate,New York Post (Opinion),https://nypost.com/2020/09/24/face-facts-black-lives-matter-is-all-about-hate/,Center,Covid-19: US to advise against travel to 80% of countries,BBC News,https://www.bbc.com/news/world-us-canada-56813852
4,blm,Wall Street Journal (News),Center,U.S. Pipeline Shutdown Exposes Cyber Threat to Energy Sector,"The ransomware attack that forced the closure of the largest U.S. fuel pipeline this weekend showed how cybercriminals pose a far-reaching threat to the aging, vulnerable infrastructure that keeps the nation's energy moving.",May 10 2021,https://www.wsj.com/articles/u-s-pipeline-shutdown-exposes-cyber-threat-to-energy-sector-11620574464?mod=hp_lead_pos3,Lean Left,NBA intends to resume playoffs in coming days after walkout over Jacob Blake shooting,NBC News (Online),https://www.nbcnews.com/news/us-news/nba-referees-hit-pavement-support-boycotting-players-n1238429,Right,'Black Guns Matter' Founder: Gun Control Keeps Urban Residents Dependent on Government,Breitbart News,http://www.breitbart.com/big-government/2016/09/25/exclusive-black-guns-matter-founder-gun-control-keep-urban-residents-dependent-gov/,Center,"Curfew lifted after protests over death of Daunte Wright, 20-year-old Black man shot by police during traffic stop: What we know",USA TODAY,https://www.usatoday.com/story/news/nation/2021/04/12/daunte-wright-police-shooting-near-minneapolis-protest-what-to-know/7185768002/
5,blm,New York Post (News),Lean Right,Black Lives Matter protesters harass RNC guests leaving White House event,"Black Lives Matter protesters harangued and harassed Republican National Convention guests as they left the White House Thursday night, according to a series of videos posted to social media.",Aug 29 2020,https://nypost.com/2020/08/28/black-lives-matter-protesters-harass-rnc-guests/,Lean Left,Bill Clinton Says He Regrets Showdown With Black Lives Matter Protesters,New York Times (News),http://www.nytimes.com/2016/04/09/us/politics/bill-clinton-apology-black-lives-matter-philadelphia.html?ref=politics&_r=0,Right,Philadelphia Inquirer Editor Resigns After Blow-Up Over 'Buildings Matter Too' Headline,The Daily Caller,https://dailycaller.com/2020/06/07/philadelphia-inquirer-editor-resigns-buildings-matter-too-headline/,Center,"Rural schools have a teacher shortage. Why don't people who live there, teach there?",USA TODAY,https://www.usatoday.com/story/news/education/2021/04/13/covid-could-make-teacher-shortage-even-worse-hard-hit-rural-schools/7189706002/
6,blm,BuzzFeed News,Left,The Black Photographers Who Paved The Way For The World We Live In Now,"Over the last century, as photography as a medium grew in popularity and decreased in price, people from every walk of life picked up cameras to document their surroundings. For many Black photographers who spent years or decades documenting the day-to-day lives of their communities, these records care more weight than ever due to a history of racism and neglect from larger, mostly white",Feb 23 2021,https://www.buzzfeednews.com/article/piapeterson/black-photographers,Left,McEnany makes false claim about Romney's share of black vote,CNN (Online News),https://www.cnn.com/2020/06/08/politics/facts-first-mcenany-romney/index.html,Right,#IStandWithTuckerCarlson Trends On Twitter After Fox News Host Faces Backlash Over 'Black Lives Matter' Comments,The Daily Caller,https://dailycaller.com/2020/06/12/tucker-carlson-trends-twitter-fox-news-backlash-black-lives-matter-comments-i-stand-with-tucker-carlson/,Center,"To Attract Black Employees, Companies Move to Them",Wall Street Journal (News),https://www.wsj.com/articles/to-attract-black-employees-companies-move-to-them-11616212810?mod=hp_lead_pos9
7,blm,Fox News (Online News),Lean Right,Father of officer gunned down in Dallas sniper attack sues Black Lives Matter,"The father of one of the five police officers killed July 7 in a sniper attack in Dallas charges in a federal lawsuit that Black Lives Matter incited a ""war on police"" that led to his son's death. The Fort Worth Star-Telegram reports that the Enrique Zamarripa's lawsuit was filed Monday in the Northern District of Texas and seeks $550 million in damages on behalf of his son, Dallas Police",Nov 11 2016,http://www.foxnews.com/us/2016/11/11/father-officer-gunned-down-in-dallas-sniper-attack-sues-black-lives-matter.html,Lean Left,Bill Clinton Says He Regrets Showdown With Black Lives Matter Protesters,New York Times (News),http://www.nytimes.com/2016/04/09/us/politics/bill-clinton-apology-black-lives-matter-philadelphia.html?ref=politics&_r=0,Lean Right,Leader of BLM-inspired group calls for creation of 'race offenders' registry,New York Post (News),https://nypost.com/2020/12/30/leader-of-blm-inspired-group-calls-for-race-offenders-registry/,Center,"A Texas judge threw out the NRA's bankruptcy case, clearing the way for New York's attempts to dissolve the group",Insider,https://www.businessinsider.com/texas-judge-throws-out-nra-bankruptcy-case-2021-5
8,blm,NPR (Online News),Center,Poll Details The Very Different Views Of Black And White Americans On Race And Police,"White and Black Americans have very different views of race in America and have had very different experiences when it comes to dealing with discrimination and trusting police, a new NPR/PBS NewsHour/Marist poll details.",May 17 2021,https://www.npr.org/2021/05/17/996857103/poll-details-the-very-different-views-of-black-and-white-americans-on-race-and-p,Left,K-pop fan activism for Black Lives Matter needs context,Vox,https://www.vox.com/2020/6/22/21295700/k-pop-fan-activism-black-lives-matter-trump-rally-racism-cultural-appropriation-reset-podcast,Lean Right,Atlanta cop who shot and killed Rayshard Brooks reinstated,New York Post (News),https://nypost.com/2021/05/05/atlanta-cop-charged-in-rayshard-brooks-murder-reinstated/,Center,Do you live in a bubble? A quiz,PBS NewsHour,http://www.pbs.org/newshour/making-sense/do-you-live-in-a-bubble-a-quiz-2/
9,blm,The Hill,Center,"Bush testifies before Congress about racist treatment Black birthing people face during childbirth, pregnancy","Rep. Cori Bush (D-Mo.) testified before Congress on Thursday about the ""racist treatment"" she said she and other Black people have experienced in the health care system during childbirth and pregnancy.",May 10 2021,https://thehill.com/policy/healthcare/552250-bush-testifies-before-congress-about-racist-treatment-black-birthing-people,Left,Trump: O'Malley 'weak' and 'pathetic' for apologizing to Black Lives Matter,CNN (Online News),http://www.cnn.com/2015/08/21/politics/martin-omalley-donald-trump-black-lives-matter/index.html,Lean Right,Good Policing Saves Black Lives,Wall Street Journal (Opinion),https://www.wsj.com/articles/good-policing-saves-black-lives-11591052916?mod=opinion_featst_pos3,Center,U.S. Pipeline Shutdown Exposes Cyber Threat to Energy Sector,Wall Street Journal (News),https://www.wsj.com/articles/u-s-pipeline-shutdown-exposes-cyber-threat-to-energy-sector-11620574464?mod=hp_lead_pos3
10,blm,Washington Examiner,Lean Right,Olympics ban Black Lives Matter apparel and could punish athletes who break the rule,The International Olympic Committee announced that Black Lives Matter apparel is banned at the Summer Olympics.,May 04 2021,https://www.washingtonexaminer.com/news/olympics-ban-black-lives-matter-apparel-could-punish-athletes-break-rule,Left,The effects of Black Lives Matter protests,Vox,https://www.vox.com/22360290/black-lives-matter-protest-crime-ferguson-effects-murder,Lean Right,Father of officer gunned down in Dallas sniper attack sues Black Lives Matter,Fox News (Online News),http://www.foxnews.com/us/2016/11/11/father-officer-gunned-down-in-dallas-sniper-attack-sues-black-lives-matter.html,Center,"Labor Rights Activists Say Minimum Wage Proposals From Manchin, Romney Aren't Living Wages",Newsweek,https://www.newsweek.com/labor-rights-activists-say-minimum-wage-proposals-manchin-romney-arent-living-wages-1571423
